vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
VTS,2024-03-27 15:25:27,2024-01-17 20:56:39,4,44.0,5,N,-73.960149,40.843072,-74.021583,40.765808,Unknown,40.4,7.2,3.1,58.33,8.07,250.27
VTS,2024-04-30 18:03:06,2024-08-30 14:14:20,6,23.07,4,Y,-73.755663,40.737915,-73.832665,40.720232,Dispute,260.65,8.79,3.6,58.44,41.23,188.89
CMT,2024-03-08 17:05:12,2024-03-24 14:59:24,6,7.86,5,N,-73.868022,40.796448,-73.855601,40.660706,No Charge,7.06,5.84,4.27,28.14,40.07,443.29
VTS,2024-01-13 13:57:18,2024-02-14 18:27:00,2,9.47,2,N,-73.797679,40.662761,-73.919027,40.693543,Credit Card,200.37,4.84,1.96,31.69,38.19,592.72
CMT,2024-10-13 19:55:29,2024-01-03 11:06:21,1,6.11,1,Y,-73.949868,40.814936,-74.045447,40.696595,No Charge,181.06,7.97,1.26,38.11,21.57,548.91
VTS,2024-11-18 18:08:57,2024-09-16 09:43:47,6,49.27,6,Y,-73.964679,40.701003,-73.750766,40.802243,Unknown,404.71,5.5,1.48,41.5,19.05,467.82
VTS,2024-04-08 08:28:24,2024-06-30 23:39:05,3,31.92,1,N,-73.936867,40.756294,-73.979406,40.657917,Credit Card,289.93,6.69,3.11,51.07,34.16,376.11
CMT,2024-07-05 02:55:15,2024-07-17 23:49:04,1,47.3,1,Y,-73.970761,40.73838,-74.003073,40.660455,Credit Card,264.22,3.65,1.16,56.35,18.36,11.32
VTS,2024-02-06 20:08:25,2024-08-29 17:45:18,2,35.41,1,N,-73.952558,40.67141,-74.013062,40.744691,No Charge,399.8,0.65,2.05,51.71,7.7,267.26
CMT,2024-08-11 14:49:56,2024-07-16 07:16:11,4,22.13,5,Y,-73.784395,40.712629,-73.862761,40.70632,Credit Card,132.03,6.08,3.68,72.03,23.96,59.74
VTS,2024-02-12 20:53:17,2024-07-02 09:23:41,3,23.48,4,N,-73.83775,40.801243,-73.877611,40.734345,Unknown,84.41,7.83,4.25,33.91,37.51,545.14
CMT,2024-05-01 06:23:02,2024-04-01 07:02:57,6,14.71,6,N,-74.007033,40.800331,-73.893225,40.658108,Unknown,189.34,0.6,4.27,39.61,15.22,364.89
VTS,2024-07-16 23:24:40,2024-01-27 22:43:39,5,37.45,4,N,-73.837051,40.634895,-73.831226,40.735402,No Charge,478.19,0.41,3.57,18.15,6.56,595.7
CMT,2024-09-26 02:44:41,2024-08-02 13:40:15,1,31.0,1,N,-73.989817,40.689795,-74.01791,40.714276,Credit Card,266.74,8.16,4.38,79.62,10.67,449.66
CMT,2024-11-02 09:48:50,2024-05-18 17:15:09,2,26.41,6,N,-73.960665,40.812902,-73.941368,40.733326,No Charge,287.15,7.12,2.73,31.69,20.86,530.83
VTS,2024-01-31 14:25:50,2024-02-04 02:06:00,3,44.38,1,Y,-73.965222,40.730501,-73.752801,40.790078,Cash,443.46,4.29,3.35,44.41,15.85,326.09
CMT,2024-06-24 22:26:45,2024-08-15 07:23:58,4,45.48,1,N,-73.906528,40.819688,-73.988826,40.718182,No Charge,397.36,0.27,1.04,14.72,32.56,503.94
VTS,2024-06-07 13:31:23,2024-03-02 14:50:21,2,6.34,2,Y,-73.961912,40.829874,-74.041144,40.743933,Unknown,219.68,5.58,1.39,78.32,27.02,206.8
VTS,2024-09-17 07:24:02,2024-07-05 15:25:17,4,24.05,4,N,-73.759757,40.670793,-73.963241,40.721901,Credit Card,295.54,3.99,2.4,49.8,14.59,415.84
VTS,2024-09-05 12:26:37,2024-03-15 23:34:45,6,27.19,5,Y,-73.935661,40.743498,-73.899359,40.647613,Credit Card,306.58,1.13,0.93,10.07,37.85,353.91
VTS,2024-07-31 12:06:25,2024-07-16 20:34:20,2,14.19,4,N,-73.867136,40.828784,-74.024302,40.838555,Cash,157.73,7.75,1.56,28.98,32.41,561.78
VTS,2024-03-09 18:59:57,2024-07-24 05:25:18,3,43.25,6,N,-73.762373,40.750936,-73.979281,40.765616,Unknown,103.53,2.7,3.09,69.96,23.38,569.75
CMT,2024-06-18 17:06:34,2024-11-04 02:13:41,4,35.68,1,Y,-73.874187,40.798408,-73.812012,40.630112,Dispute,453.11,6.59,4.28,3.12,41.96,321.82
VTS,2024-06-30 13:19:43,2024-03-07 06:21:02,2,17.81,4,N,-73.754877,40.720143,-73.825295,40.812149,No Charge,281.84,4.82,2.52,49.86,26.56,17.58
CMT,2024-01-13 22:13:52,2024-10-15 21:33:08,5,0.76,4,Y,-73.779646,40.638914,-73.838533,40.816918,No Charge,361.26,8.76,0.4,96.54,26.49,449.45
VTS,2024-11-15 19:05:31,2024-06-10 21:34:28,3,49.84,2,N,-74.032784,40.832272,-74.034646,40.692326,Dispute,48.31,3.42,1.3,83.09,4.28,545.09
CMT,2024-04-07 13:53:55,2024-01-16 23:52:04,6,36.01,2,N,-73.785034,40.815373,-73.993437,40.829732,Credit Card,59.21,3.45,1.71,17.28,44.34,178.56
VTS,2024-02-25 10:56:55,2024-03-29 09:12:02,2,33.85,1,Y,-73.889185,40.749422,-73.889078,40.63288,Credit Card,100.96,2.55,1.38,89.35,9.96,597.16
VTS,2024-09-18 19:22:18,2024-02-26 06:26:48,4,6.05,5,Y,-73.868131,40.641594,-73.853359,40.703138,No Charge,236.38,2.75,3.64,65.15,20.69,15.92
VTS,2024-07-12 10:15:47,2024-05-21 23:22:15,6,35.58,2,Y,-73.942524,40.759878,-74.025562,40.690538,Credit Card,491.19,7.29,2.1,34.36,48.51,572.78
CMT,2024-06-10 23:36:48,2024-09-18 06:15:43,6,4.33,4,N,-73.869331,40.689367,-73.864608,40.779218,Credit Card,186.22,2.24,0.05,57.95,7.41,547.36
CMT,2024-09-09 10:41:24,2024-07-13 16:08:09,1,20.3,6,Y,-73.830091,40.748118,-73.861334,40.630768,Credit Card,210.05,3.33,0.22,8.11,15.41,304.76
CMT,2024-08-14 08:51:14,2024-07-18 22:57:02,5,30.57,6,Y,-73.971517,40.662581,-73.968759,40.706464,Credit Card,490.11,9.61,1.44,6.5,13.02,135.67
VTS,2024-02-18 20:08:55,2024-07-01 11:41:52,2,42.5,6,Y,-73.777911,40.791847,-73.766275,40.691228,Unknown,53.17,2.65,1.91,13.13,14.1,568.74
VTS,2024-05-03 00:01:46,2024-06-20 03:25:46,3,46.08,6,N,-73.94056,40.816522,-73.766147,40.634006,Unknown,84.17,9.59,4.14,74.67,25.58,585.75
CMT,2024-10-08 18:20:26,2024-01-24 11:22:20,6,5.02,3,Y,-73.855335,40.787295,-73.9229,40.706895,Credit Card,77.77,7.8,3.05,0.47,3.27,129.21
CMT,2024-10-31 10:25:53,2024-05-15 03:51:20,3,31.42,5,Y,-73.933303,40.78198,-73.823945,40.724359,Cash,369.75,1.09,2.66,68.46,32.54,300.76
VTS,2024-03-02 13:56:16,2024-06-25 00:09:12,5,33.68,3,N,-73.762589,40.80092,-73.804138,40.711624,Cash,73.68,6.55,0.47,70.18,6.57,29.47
CMT,2024-01-30 23:17:54,2024-04-28 03:58:29,4,27.76,2,Y,-73.982404,40.717771,-73.942982,40.72493,Unknown,13.93,6.68,4.54,47.68,28.06,336.95
CMT,2024-10-18 16:16:07,2024-05-23 11:25:54,3,42.19,3,N,-73.817502,40.765538,-74.030338,40.652727,Unknown,296.77,0.47,3.43,93.08,13.84,340.12
CMT,2024-10-08 09:31:35,2024-06-05 13:02:30,4,33.77,6,N,-74.035143,40.814567,-73.93978,40.84571,No Charge,34.07,3.02,3.69,19.76,41.13,396.77
VTS,2024-09-20 02:57:55,2024-06-05 01:34:59,4,49.8,5,Y,-73.858074,40.736463,-73.919962,40.795356,Dispute,278.1,4.5,4.26,68.15,32.79,435.97
VTS,2024-05-25 18:32:41,2024-07-21 04:27:23,3,18.16,1,Y,-73.780813,40.836176,-74.018561,40.759264,Cash,276.81,2.67,4.93,64.26,7.11,168.4
CMT,2024-04-23 00:14:34,2024-07-08 11:27:51,2,9.53,2,N,-73.798782,40.780072,-73.855283,40.757085,Cash,93.39,2.07,3.91,76.64,41.92,90.8
VTS,2024-05-06 10:22:27,2024-02-01 03:03:46,3,43.85,5,N,-74.012723,40.731583,-73.904667,40.76571,No Charge,142.81,8.26,0.22,50.78,45.44,119.75
CMT,2024-02-26 01:46:09,2024-02-09 19:47:40,1,42.52,1,N,-74.027159,40.81377,-73.876126,40.827936,Credit Card,414.83,3.08,2.72,29.42,18.1,452.62
VTS,2024-07-24 22:46:05,2024-07-05 22:08:02,3,45.11,1,Y,-73.755609,40.808094,-73.80025,40.720263,Cash,395.66,0.67,1.46,24.57,44.7,208.98
VTS,2024-05-14 11:23:11,2024-03-05 07:05:00,1,29.77,3,N,-73.987751,40.744336,-73.92884,40.63162,Unknown,321.33,8.09,4.92,21.49,7.66,554.87
VTS,2024-11-08 17:49:25,2024-07-28 09:47:40,1,38.59,6,N,-73.821993,40.64314,-74.034232,40.6734,Cash,297.83,3.92,3.99,63.25,25.66,262.18
CMT,2024-01-11 05:53:26,2024-03-23 00:29:42,3,46.78,4,Y,-73.904825,40.716262,-73.831211,40.630482,Unknown,33.6,2.98,0.53,90.47,9.91,441.01
CMT,2024-10-02 05:42:04,2024-11-07 06:16:33,5,4.51,2,Y,-73.840167,40.771136,-73.903677,40.81575,Unknown,260.47,0.45,3.87,2.79,35.0,449.27
VTS,2024-10-23 02:23:42,2024-10-30 17:30:00,4,49.47,6,Y,-73.92644,40.822094,-73.96298,40.750578,Dispute,131.57,7.53,3.18,64.26,26.01,176.46
CMT,2024-07-18 07:01:41,2024-05-24 01:52:05,4,42.67,5,Y,-73.92609,40.807433,-73.940633,40.722409,Credit Card,104.09,0.6,0.87,73.43,15.77,588.15
VTS,2024-07-09 22:31:58,2024-09-02 19:58:39,6,9.57,3,N,-74.005931,40.68728,-73.898861,40.653506,No Charge,312.27,2.94,1.82,42.63,6.87,187.74
CMT,2024-11-12 08:16:16,2024-03-17 04:31:37,2,1.62,4,N,-73.971235,40.816469,-74.002569,40.81799,Cash,234.34,9.68,3.71,40.19,21.84,147.83
CMT,2024-11-01 08:25:27,2024-06-08 01:22:30,4,13.31,5,Y,-73.785834,40.760051,-73.808005,40.647721,Credit Card,481.47,1.0,2.38,33.14,32.83,129.75
CMT,2024-11-02 14:10:13,2024-03-20 00:36:55,3,26.17,6,N,-73.992795,40.768683,-73.833608,40.821604,No Charge,30.42,2.26,2.02,57.19,47.82,595.61
CMT,2024-03-11 20:52:40,2024-03-10 03:15:32,4,37.27,3,Y,-74.046698,40.645408,-74.036173,40.709206,Unknown,334.5,6.1,3.07,19.86,45.01,25.65
VTS,2024-10-06 03:12:15,2024-02-27 04:07:57,4,13.08,4,Y,-73.912343,40.777307,-73.981813,40.844163,Cash,247.26,8.77,0.41,11.71,12.54,121.32
CMT,2024-04-01 18:53:47,2024-03-05 04:51:47,2,30.79,3,Y,-73.893548,40.769753,-73.935362,40.698158,Cash,478.6,6.37,0.41,61.71,28.37,350.35
VTS,2024-07-11 08:33:05,2024-03-30 11:58:47,4,30.32,6,N,-74.016257,40.721469,-74.049999,40.719996,Unknown,15.99,5.87,1.29,70.19,34.71,591.53
VTS,2024-09-15 16:48:36,2024-04-08 22:01:34,6,23.14,1,Y,-73.964473,40.666623,-73.86427,40.750687,No Charge,463.29,1.14,3.9,93.31,39.02,514.47
CMT,2024-03-14 07:44:02,2024-10-20 06:10:57,2,46.51,6,N,-73.871756,40.768472,-74.015551,40.698721,Dispute,64.37,3.69,4.07,86.96,9.93,267.97
VTS,2024-01-29 18:50:54,2024-07-19 13:07:49,2,36.65,5,N,-73.847756,40.763914,-74.048383,40.814623,Dispute,32.58,4.61,4.95,95.25,18.15,433.01
CMT,2024-05-03 09:34:29,2024-03-15 22:35:54,2,23.35,4,Y,-73.901571,40.791579,-73.842708,40.686551,Dispute,254.17,1.16,3.38,55.85,40.11,234.58
CMT,2024-01-26 23:04:01,2024-08-10 21:33:31,4,36.18,3,Y,-73.931422,40.643664,-73.835147,40.631416,Credit Card,417.88,3.57,0.78,63.53,1.28,502.78
VTS,2024-02-27 00:24:54,2024-01-16 07:19:36,2,10.84,6,Y,-73.768328,40.73325,-73.91334,40.784055,Unknown,358.82,3.69,4.47,91.91,4.28,299.08
VTS,2024-02-05 04:11:05,2024-02-08 12:16:16,2,35.58,1,N,-73.835814,40.718332,-73.987229,40.804884,Unknown,347.98,0.96,2.67,3.91,32.65,108.85
VTS,2024-01-19 21:00:48,2024-07-12 22:17:03,1,46.65,3,N,-73.855904,40.747323,-73.909472,40.660378,Unknown,74.59,0.31,1.42,84.5,15.37,171.81
CMT,2024-02-23 09:34:31,2024-09-24 08:34:01,6,32.84,2,N,-73.796211,40.693558,-74.039893,40.731779,Cash,223.42,0.87,3.53,74.15,31.51,189.49
VTS,2024-10-28 02:30:48,2024-09-19 18:12:09,2,48.28,6,Y,-74.049469,40.705522,-73.75295,40.780198,Unknown,340.17,7.27,2.35,24.86,1.4,249.92
CMT,2024-09-06 11:32:04,2024-03-29 10:09:36,2,3.83,4,N,-73.929388,40.764541,-73.977096,40.699867,Cash,361.21,1.13,2.92,69.68,21.27,330.4
CMT,2024-07-26 05:17:50,2024-05-22 12:08:39,2,27.55,2,Y,-73.865782,40.646164,-73.760486,40.7293,Dispute,361.92,9.94,2.08,52.96,3.86,138.19
VTS,2024-11-14 22:36:54,2024-08-29 11:33:32,3,11.15,2,N,-74.045619,40.746144,-73.857638,40.703648,Unknown,408.42,6.74,1.3,66.52,45.87,502.54
VTS,2024-04-06 04:14:55,2024-04-24 06:15:20,3,39.48,6,N,-73.983439,40.823132,-73.896662,40.667948,Cash,15.4,6.25,1.73,38.77,10.47,479.26
CMT,2024-09-09 23:06:41,2024-02-17 03:29:58,1,2.16,1,N,-73.788179,40.654453,-73.940215,40.768771,Dispute,146.47,8.49,1.05,37.88,19.28,283.58
CMT,2024-07-07 12:34:40,2024-10-02 06:31:36,1,34.07,2,Y,-74.001071,40.673856,-73.826443,40.655348,Cash,120.82,1.41,2.65,17.79,14.62,302.04
CMT,2024-02-26 07:43:10,2024-07-26 22:42:55,5,31.69,3,N,-73.904748,40.716407,-73.878881,40.645255,Cash,477.05,4.07,3.9,90.13,15.17,176.93
CMT,2024-08-10 12:34:52,2024-09-13 17:25:28,4,9.13,3,Y,-73.771322,40.762725,-73.876131,40.76295,Cash,279.34,7.04,4.37,46.61,23.36,468.95
CMT,2024-03-05 00:23:43,2024-08-28 23:44:25,3,41.35,1,Y,-73.753452,40.632713,-73.805353,40.684602,No Charge,392.64,1.2,4.37,36.32,25.37,10.35
CMT,2024-07-25 18:42:40,2024-09-15 15:41:48,5,41.76,6,Y,-73.756825,40.681313,-73.903888,40.783519,Cash,358.23,5.56,4.57,46.09,34.85,527.85
CMT,2024-10-06 18:20:46,2024-03-10 10:46:11,1,32.65,2,N,-73.93012,40.671312,-73.834485,40.834042,Dispute,493.39,5.32,2.32,74.29,47.55,497.28
VTS,2024-10-12 18:12:21,2024-08-06 11:28:10,3,45.13,6,Y,-73.803137,40.642932,-74.042218,40.752404,Cash,474.92,5.78,1.2,7.18,28.66,361.14
CMT,2024-10-19 10:01:22,2024-06-23 04:08:30,5,24.73,5,N,-73.802263,40.836276,-73.927549,40.814664,Unknown,107.91,0.11,1.1,50.17,48.81,473.28
CMT,2024-06-06 00:25:18,2024-06-26 19:12:23,1,38.73,6,Y,-73.909969,40.823781,-73.840581,40.837824,Unknown,155.48,0.44,0.36,82.38,0.08,436.43
VTS,2024-11-06 03:27:00,2024-10-25 10:52:37,6,5.6,6,N,-73.816769,40.654517,-74.048871,40.730103,Unknown,329.19,5.58,2.06,10.47,48.13,246.68
CMT,2024-02-15 05:55:48,2024-02-29 23:25:06,4,49.15,6,Y,-73.907718,40.797085,-73.844863,40.665485,Unknown,448.55,6.91,4.58,47.99,37.01,187.62
VTS,2024-04-11 10:24:13,2024-07-30 22:23:33,2,6.11,1,N,-73.775895,40.786511,-73.807342,40.6391,Unknown,268.73,9.99,4.08,72.42,21.15,580.04
VTS,2024-03-08 22:18:36,2024-05-16 04:32:29,3,23.34,6,N,-74.004608,40.773326,-74.021215,40.674881,No Charge,422.29,4.28,1.62,97.67,9.01,256.15
CMT,2024-07-18 23:51:41,2024-06-10 14:07:53,3,46.09,5,Y,-74.024992,40.687053,-73.777522,40.723246,Dispute,352.05,7.78,3.36,54.13,31.48,177.43
VTS,2024-06-14 22:25:13,2024-06-30 17:39:32,4,46.49,1,Y,-73.805773,40.783805,-73.816375,40.783981,Cash,199.96,7.31,4.93,50.44,43.87,525.54
VTS,2024-06-12 16:41:32,2024-04-21 19:38:44,1,7.37,3,Y,-73.867991,40.838453,-73.908504,40.633926,Credit Card,343.56,6.82,2.44,8.53,18.07,206.86
CMT,2024-08-30 13:09:10,2024-04-01 21:54:47,2,24.83,4,Y,-73.816684,40.823524,-73.812872,40.841165,Cash,170.62,6.24,1.05,90.87,19.99,109.91
CMT,2024-08-17 10:23:39,2024-01-23 14:40:00,3,45.7,4,N,-73.940865,40.745851,-73.811357,40.759353,Unknown,28.32,8.24,0.91,98.05,12.03,190.9
VTS,2024-10-27 09:07:36,2024-04-28 23:30:14,1,9.85,1,Y,-74.005522,40.833415,-73.930248,40.818202,Credit Card,466.94,7.95,4.63,76.28,12.8,109.84
CMT,2024-03-23 22:29:45,2024-04-26 17:43:09,6,10.08,5,Y,-73.800135,40.8043,-73.937354,40.741629,Dispute,116.08,1.28,1.13,70.89,34.22,81.37
VTS,2024-02-26 19:11:13,2024-01-21 19:52:48,6,10.29,3,Y,-73.975886,40.664834,-73.783869,40.687004,No Charge,190.46,0.83,4.37,28.71,49.58,504.22
CMT,2024-04-11 15:40:59,2024-08-22 21:22:29,3,41.6,3,N,-73.824894,40.650097,-73.995674,40.693211,Credit Card,61.4,0.46,2.5,19.21,47.09,145.05
VTS,2024-06-04 19:01:43,2024-11-01 19:20:52,2,30.1,1,Y,-74.024774,40.816959,-73.928677,40.704022,No Charge,142.08,3.76,1.07,86.71,23.74,245.24
CMT,2024-01-29 09:36:11,2024-07-26 05:38:27,3,39.49,5,Y,-73.782432,40.826107,-73.884619,40.685894,No Charge,77.53,1.49,1.29,41.32,8.36,353.77
CMT,2024-11-06 08:14:25,2024-05-06 21:46:12,1,34.3,2,N,-73.996775,40.794491,-73.790217,40.653979,Credit Card,400.09,3.92,2.68,13.96,21.79,383.78
CMT,2024-04-23 00:59:49,2024-10-07 06:32:36,6,14.51,4,Y,-73.984908,40.791997,-73.862218,40.6527,No Charge,459.3,2.76,1.5,73.95,46.71,48.84
CMT,2024-01-11 17:40:18,2024-01-13 07:55:00,1,4.44,4,Y,-73.758734,40.805231,-73.967904,40.74706,No Charge,61.37,7.64,0.23,75.19,34.73,223.99
VTS,2024-01-24 10:28:52,2024-05-25 21:18:23,5,28.27,3,Y,-73.808715,40.636777,-73.909195,40.718171,Credit Card,407.33,7.61,0.52,43.03,11.18,442.43
VTS,2024-06-07 09:37:03,2024-06-12 12:07:48,4,3.95,4,Y,-73.994673,40.662631,-73.825127,40.75274,No Charge,210.06,0.88,3.91,36.01,26.05,270.96
CMT,2024-04-12 19:08:36,2024-08-06 10:29:47,3,27.6,4,Y,-73.78629,40.745187,-73.87695,40.841938,Credit Card,149.42,6.8,0.81,77.05,10.38,114.3
VTS,2024-09-09 03:13:49,2024-07-14 13:10:47,5,28.34,4,N,-73.790801,40.64784,-73.916304,40.657839,Dispute,239.87,0.12,4.19,7.42,21.52,447.68
VTS,2024-11-11 16:21:00,2024-02-05 16:03:26,5,2.23,4,Y,-74.000454,40.655994,-73.97634,40.652445,Credit Card,195.77,7.23,0.11,65.65,21.68,168.75
VTS,2024-01-22 14:28:20,2024-04-11 03:30:56,1,46.55,3,N,-73.907425,40.843964,-74.044553,40.845093,No Charge,412.37,3.52,4.83,17.2,10.36,214.74
VTS,2024-02-17 19:17:36,2024-10-31 21:54:34,5,33.42,6,Y,-73.849999,40.787143,-73.814502,40.723488,No Charge,16.45,7.19,3.95,75.78,15.13,282.95
CMT,2024-10-08 17:39:52,2024-04-07 21:25:12,4,21.61,6,Y,-73.784406,40.768713,-73.866271,40.650102,Unknown,305.36,0.48,2.3,21.83,31.26,212.17
CMT,2024-08-03 10:22:07,2024-01-05 17:08:10,6,22.29,6,N,-73.774527,40.79271,-73.93051,40.825792,Dispute,454.99,3.85,1.15,43.11,19.44,405.43
CMT,2024-04-12 08:31:42,2024-05-29 20:49:19,4,43.59,4,Y,-73.804912,40.696562,-74.012146,40.786502,Dispute,256.61,7.47,3.13,61.88,38.89,448.96
CMT,2024-01-24 14:24:04,2024-04-02 23:26:31,2,33.93,3,Y,-74.022392,40.691737,-73.813544,40.78758,Dispute,7.12,8.41,2.43,15.19,2.16,87.61
VTS,2024-06-27 21:24:19,2024-03-19 02:04:44,5,40.8,2,Y,-73.943908,40.806094,-73.877105,40.656219,No Charge,105.87,3.12,0.59,38.56,39.53,78.36
VTS,2024-03-12 00:02:12,2024-04-29 17:39:24,1,36.56,1,Y,-73.930836,40.721855,-73.898895,40.706794,Unknown,479.08,7.9,2.32,46.49,21.43,572.22
VTS,2024-02-17 05:18:23,2024-01-11 15:46:41,6,34.18,4,N,-73.831816,40.775521,-73.812149,40.772192,No Charge,179.17,1.11,4.72,21.3,6.39,28.09
VTS,2024-07-09 04:58:11,2024-07-20 22:25:21,5,21.54,6,Y,-74.033048,40.74869,-73.765438,40.822996,Unknown,427.96,9.35,4.11,23.73,14.51,544.13
CMT,2024-07-06 11:04:41,2024-10-14 10:29:13,3,28.89,6,Y,-73.858625,40.751888,-73.974323,40.748655,Dispute,24.71,7.19,2.24,72.8,39.35,387.52
CMT,2024-05-20 08:46:30,2024-09-17 05:09:46,4,36.23,6,N,-73.959014,40.774984,-73.894697,40.810241,Cash,108.74,7.27,1.45,97.89,7.53,560.38
CMT,2024-05-22 16:52:57,2024-01-29 11:57:58,1,9.44,5,N,-73.76938,40.704297,-73.806479,40.777987,Unknown,362.9,4.09,1.93,11.02,34.27,376.19
VTS,2024-09-09 08:14:07,2024-04-11 06:58:24,6,42.44,3,N,-73.858389,40.760289,-73.886638,40.773394,Dispute,453.61,2.47,2.22,74.68,21.01,138.79
